가게,店
죽,おかゆ
죽다,死ぬ
준비,用意、準備
준비하다,準備する
줄,列、線、ひも
줄다,減る
중,中
중국,中国
중국어,中国語
중국집,中華料理店
중식,中国料理
중심,中心
중요,重要
중요하다,重要だ
중학교,中学校
중학생,中学生
즐거워하다,楽しがる
즐겁다,楽しい
즐기다,楽しむ
증세,病状
지각,遅刻
지갑,財布
지금,今
지나다,過ぎる、経つ
지난달,先月
지난번,前回
지난주,先週
지내다,過ごす、暮らす
지다,負ける
지도,地図
지방,地方
지우개,消しゴム、黒板消し
지키다,守る
지하,地下
지하도,地下道
지하철,地下鉄
지하철역,地下鉄の駅
직업,職業
직원,職員
직장,職場
직접,直接
진달래,ツツジ
질,質
질문,質問
질문하다,質問する
짐,荷物
집,家、店
짓다,作る
짜다,組み立てる、（計画を）立てる
짜리,価値があるもの（○ウォン硬貨/紙幣/切手など）
짧다,短い
쪽,ページ
쯤,～ごろ
찌개,チゲ
찍다,突き刺す、（写真を）撮る、（印鑑を）押す、（物の端に液体を）つける
차,車、茶
차갑다,冷たい
차다,蹴る
차리다,（食事の席を）準備する、整える、（気持ち、精神を）しっかりさせる
착하다,（人柄が）良い、善良だ、やさしい
참,本当に、非常に
창문,窓
찾다,探す、（銀行などでお金を）おろす、（人を）訪ねる
찾아가다,（人に会いに、用事を済ませに）行く、（落し物などを）引き取って持って行く
찾아오다,（人に会いに、用事を済ませに）来る、（落し物などを）引き取って持って来る
채소,野菜
책,本
책방,本屋
책상,机
책임,責任
책장,本棚
처음,最初、初めて
처음 뵙겠습니다,はじめまして
천,1000
천천히,ゆっくり
철,季節、旬
첫,初～、初めての～
첫째,最初の～、第１の～、１番目の～
청바지,（青い）ジーパン
청소기,掃除機
청소하다,掃除する
초,秒
초대하다,招待する
초등학교,初等学校（＝小学校）
초등학생,小学生
초록색,緑色
초콜릿,チョコレート
촬영하다,撮影する
최고,最高
추다,踊る
추석,チュソク（秋夕）、旧暦のお盆
추억,思い出
축구,サッカー
축제,祝祭、お祭り
축하,祝賀
축하하다,祝う
축하합니다,おめでとうございます
출구,出口
출근하다,出勤する
출발,出発
출발하다,出発する
출장,出張
춤,踊り、ダンス
춤추다,踊りを踊る
춥다,寒い
취미,趣味
